From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Gene Ontology (GO)	Gene Ontology IDs	Gene Ontology (cellular component)	Gene Ontology (molecular function)
P02745	P02745	reviewed	C1QA_HUMAN	Complement C1q subcomponent subunit A	C1QA	Homo sapiens (Human)	245	astrocyte activation [GO:0048143]; cell-cell signaling [GO:0007267]; complement activation [GO:0006956]; complement activation, classical pathway [GO:0006958]; complement-mediated synapse pruning [GO:0150062]; innate immune response [GO:0045087]; microglial cell activation [GO:0001774]; neuron remodeling [GO:0016322]; synapse organization [GO:0050808]; synapse pruning [GO:0098883]; vertebrate eye-specific patterning [GO:0150064]	collagen trimer [GO:0005581]; collagen-containing extracellular matrix [GO:0062023]; complement component C1 complex [GO:0005602]; complement component C1q complex [GO:0062167]; extracellular region [GO:0005576]; extrinsic component of postsynaptic membrane [GO:0098890]; extrinsic component of presynaptic membrane [GO:0098888]; glutamatergic synapse [GO:0098978]; postsynapse [GO:0098794]; synapse [GO:0045202]; amyloid-beta binding [GO:0001540]; astrocyte activation [GO:0048143]; cell-cell signaling [GO:0007267]; complement activation [GO:0006956]; complement activation, classical pathway [GO:0006958]; complement-mediated synapse pruning [GO:0150062]; innate immune response [GO:0045087]; microglial cell activation [GO:0001774]; neuron remodeling [GO:0016322]; synapse organization [GO:0050808]; synapse pruning [GO:0098883]; vertebrate eye-specific patterning [GO:0150064]	GO:0001540; GO:0001774; GO:0005576; GO:0005581; GO:0005602; GO:0006956; GO:0006958; GO:0007267; GO:0016322; GO:0045087; GO:0045202; GO:0048143; GO:0050808; GO:0062023; GO:0062167; GO:0098794; GO:0098883; GO:0098888; GO:0098890; GO:0098978; GO:0150062; GO:0150064	collagen trimer [GO:0005581]; collagen-containing extracellular matrix [GO:0062023]; complement component C1 complex [GO:0005602]; complement component C1q complex [GO:0062167]; extracellular region [GO:0005576]; extrinsic component of postsynaptic membrane [GO:0098890]; extrinsic component of presynaptic membrane [GO:0098888]; glutamatergic synapse [GO:0098978]; postsynapse [GO:0098794]; synapse [GO:0045202]	amyloid-beta binding [GO:0001540]
P02746	P02746	reviewed	C1QB_HUMAN	Complement C1q subcomponent subunit B	C1QB	Homo sapiens (Human)	253	complement activation [GO:0006956]; complement activation, classical pathway [GO:0006958]; innate immune response [GO:0045087]; synapse pruning [GO:0098883]	blood microparticle [GO:0072562]; collagen trimer [GO:0005581]; collagen-containing extracellular matrix [GO:0062023]; complement component C1 complex [GO:0005602]; complement component C1q complex [GO:0062167]; extracellular region [GO:0005576]; postsynapse [GO:0098794]; synapse [GO:0045202]; complement activation [GO:0006956]; complement activation, classical pathway [GO:0006958]; innate immune response [GO:0045087]; synapse pruning [GO:0098883]	GO:0005576; GO:0005581; GO:0005602; GO:0006956; GO:0006958; GO:0045087; GO:0045202; GO:0062023; GO:0062167; GO:0072562; GO:0098794; GO:0098883	blood microparticle [GO:0072562]; collagen trimer [GO:0005581]; collagen-containing extracellular matrix [GO:0062023]; complement component C1 complex [GO:0005602]; complement component C1q complex [GO:0062167]; extracellular region [GO:0005576]; postsynapse [GO:0098794]; synapse [GO:0045202]	
P02747	P02747	reviewed	C1QC_HUMAN	Complement C1q subcomponent subunit C	C1QC C1QG	Homo sapiens (Human)	245	complement activation, classical pathway [GO:0006958]; immune response [GO:0006955]; innate immune response [GO:0045087]; negative regulation of granulocyte differentiation [GO:0030853]; negative regulation of macrophage differentiation [GO:0045650]; synapse pruning [GO:0098883]	blood microparticle [GO:0072562]; collagen trimer [GO:0005581]; collagen-containing extracellular matrix [GO:0062023]; complement component C1 complex [GO:0005602]; complement component C1q complex [GO:0062167]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; extrinsic component of postsynaptic membrane [GO:0098890]; extrinsic component of presynaptic membrane [GO:0098888]; glutamatergic synapse [GO:0098978]; postsynapse [GO:0098794]; synapse [GO:0045202]; complement activation, classical pathway [GO:0006958]; immune response [GO:0006955]; innate immune response [GO:0045087]; negative regulation of granulocyte differentiation [GO:0030853]; negative regulation of macrophage differentiation [GO:0045650]; synapse pruning [GO:0098883]	GO:0005576; GO:0005581; GO:0005602; GO:0005615; GO:0006955; GO:0006958; GO:0030853; GO:0045087; GO:0045202; GO:0045650; GO:0062023; GO:0062167; GO:0072562; GO:0098794; GO:0098883; GO:0098888; GO:0098890; GO:0098978	blood microparticle [GO:0072562]; collagen trimer [GO:0005581]; collagen-containing extracellular matrix [GO:0062023]; complement component C1 complex [GO:0005602]; complement component C1q complex [GO:0062167]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; extrinsic component of postsynaptic membrane [GO:0098890]; extrinsic component of presynaptic membrane [GO:0098888]; glutamatergic synapse [GO:0098978]; postsynapse [GO:0098794]; synapse [GO:0045202]	
P02748	P02748	reviewed	CO9_HUMAN	Complement component C9 [Cleaved into: Complement component C9a; Complement component C9b]	C9	Homo sapiens (Human)	559	cell killing [GO:0001906]; complement activation [GO:0006956]; complement activation, alternative pathway [GO:0006957]; complement activation, classical pathway [GO:0006958]; killing of cells of another organism [GO:0031640]; positive regulation of immune response [GO:0050778]; protein homooligomerization [GO:0051260]	blood microparticle [GO:0072562]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; membrane attack complex [GO:0005579]; other organism cell membrane [GO:0044218]; plasma membrane [GO:0005886]; cell killing [GO:0001906]; complement activation [GO:0006956]; complement activation, alternative pathway [GO:0006957]; complement activation, classical pathway [GO:0006958]; killing of cells of another organism [GO:0031640]; positive regulation of immune response [GO:0050778]; protein homooligomerization [GO:0051260]	GO:0001906; GO:0005576; GO:0005579; GO:0005615; GO:0005886; GO:0006956; GO:0006957; GO:0006958; GO:0031640; GO:0044218; GO:0050778; GO:0051260; GO:0070062; GO:0072562	blood microparticle [GO:0072562]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; membrane attack complex [GO:0005579]; other organism cell membrane [GO:0044218]; plasma membrane [GO:0005886]	
P02749	P02749	reviewed	APOH_HUMAN	Beta-2-glycoprotein 1 (APC inhibitor) (Activated protein C-binding protein) (Anticardiolipin cofactor) (Apolipoprotein H) (Apo-H) (Beta-2-glycoprotein I) (B2GPI) (Beta(2)GPI)	APOH B2G1	Homo sapiens (Human)	345	blood coagulation, intrinsic pathway [GO:0007597]; negative regulation of angiogenesis [GO:0016525]; negative regulation of blood coagulation [GO:0030195]; negative regulation of endothelial cell migration [GO:0010596]; negative regulation of endothelial cell proliferation [GO:0001937]; negative regulation of fibrinolysis [GO:0051918]; negative regulation of myeloid cell apoptotic process [GO:0033033]; negative regulation of smooth muscle cell apoptotic process [GO:0034392]; plasminogen activation [GO:0031639]; positive regulation of blood coagulation [GO:0030194]; positive regulation of lipoprotein lipase activity [GO:0051006]; regulation of fibrinolysis [GO:0051917]; triglyceride metabolic process [GO:0006641]; triglyceride transport [GO:0034197]	cell surface [GO:0009986]; chylomicron [GO:0042627]; collagen-containing extracellular matrix [GO:0062023]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; high-density lipoprotein particle [GO:0034364]; platelet dense granule lumen [GO:0031089]; very-low-density lipoprotein particle [GO:0034361]; heparin binding [GO:0008201]; identical protein binding [GO:0042802]; lipid binding [GO:0008289]; lipoprotein lipase activator activity [GO:0060230]; phospholipid binding [GO:0005543]; blood coagulation, intrinsic pathway [GO:0007597]; negative regulation of angiogenesis [GO:0016525]; negative regulation of blood coagulation [GO:0030195]; negative regulation of endothelial cell migration [GO:0010596]; negative regulation of endothelial cell proliferation [GO:0001937]; negative regulation of fibrinolysis [GO:0051918]; negative regulation of myeloid cell apoptotic process [GO:0033033]; negative regulation of smooth muscle cell apoptotic process [GO:0034392]; plasminogen activation [GO:0031639]; positive regulation of blood coagulation [GO:0030194]; positive regulation of lipoprotein lipase activity [GO:0051006]; regulation of fibrinolysis [GO:0051917]; triglyceride metabolic process [GO:0006641]; triglyceride transport [GO:0034197]	GO:0001937; GO:0005543; GO:0005576; GO:0005615; GO:0006641; GO:0007597; GO:0008201; GO:0008289; GO:0009986; GO:0010596; GO:0016525; GO:0030194; GO:0030195; GO:0031089; GO:0031639; GO:0033033; GO:0034197; GO:0034361; GO:0034364; GO:0034392; GO:0042627; GO:0042802; GO:0051006; GO:0051917; GO:0051918; GO:0060230; GO:0062023; GO:0070062	cell surface [GO:0009986]; chylomicron [GO:0042627]; collagen-containing extracellular matrix [GO:0062023]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; high-density lipoprotein particle [GO:0034364]; platelet dense granule lumen [GO:0031089]; very-low-density lipoprotein particle [GO:0034361]	heparin binding [GO:0008201]; identical protein binding [GO:0042802]; lipid binding [GO:0008289]; lipoprotein lipase activator activity [GO:0060230]; phospholipid binding [GO:0005543]
P02750	P02750	reviewed	A2GL_HUMAN	Leucine-rich alpha-2-glycoprotein (LRG)	LRG1 LRG	Homo sapiens (Human)	347	brown fat cell differentiation [GO:0050873]; keratinocyte migration [GO:0051546]; leukocyte adhesion to vascular endothelial cell [GO:0061756]; positive regulation of angiogenesis [GO:0045766]; positive regulation of endothelial cell proliferation [GO:0001938]; positive regulation of epithelial cell proliferation involved in wound healing [GO:0060054]; positive regulation of epithelial to mesenchymal transition [GO:0010718]; positive regulation of keratinocyte proliferation [GO:0010838]; positive regulation of transforming growth factor beta receptor signaling pathway [GO:0030511]; response to bacterium [GO:0009617]; wound healing, spreading of epidermal cells [GO:0035313]	extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; ficolin-1-rich granule lumen [GO:1904813]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; specific granule lumen [GO:0035580]; tertiary granule lumen [GO:1904724]; type I transforming growth factor beta receptor binding [GO:0034713]; type II transforming growth factor beta receptor binding [GO:0005114]; brown fat cell differentiation [GO:0050873]; keratinocyte migration [GO:0051546]; leukocyte adhesion to vascular endothelial cell [GO:0061756]; positive regulation of angiogenesis [GO:0045766]; positive regulation of endothelial cell proliferation [GO:0001938]; positive regulation of epithelial cell proliferation involved in wound healing [GO:0060054]; positive regulation of epithelial to mesenchymal transition [GO:0010718]; positive regulation of keratinocyte proliferation [GO:0010838]; positive regulation of transforming growth factor beta receptor signaling pathway [GO:0030511]; response to bacterium [GO:0009617]; wound healing, spreading of epidermal cells [GO:0035313]	GO:0001938; GO:0005114; GO:0005576; GO:0005615; GO:0009617; GO:0010718; GO:0010838; GO:0016020; GO:0030511; GO:0034713; GO:0035313; GO:0035580; GO:0043231; GO:0045766; GO:0050873; GO:0051546; GO:0060054; GO:0061756; GO:0070062; GO:1904724; GO:1904813	extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; ficolin-1-rich granule lumen [GO:1904813]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; specific granule lumen [GO:0035580]; tertiary granule lumen [GO:1904724]	type I transforming growth factor beta receptor binding [GO:0034713]; type II transforming growth factor beta receptor binding [GO:0005114]
P02751	P02751	reviewed	FINC_HUMAN	Fibronectin (FN) (Cold-insoluble globulin) (CIG) [Cleaved into: Anastellin; Ugl-Y1; Ugl-Y2; Ugl-Y3]	FN1 FN	Homo sapiens (Human)	2477	acute-phase response [GO:0006953]; angiogenesis [GO:0001525]; biological process involved in interaction with symbiont [GO:0051702]; calcium-independent cell-matrix adhesion [GO:0007161]; cell adhesion [GO:0007155]; cell-matrix adhesion [GO:0007160]; cell-substrate junction assembly [GO:0007044]; endodermal cell differentiation [GO:0035987]; heart development [GO:0007507]; integrin activation [GO:0033622]; integrin-mediated signaling pathway [GO:0007229]; negative regulation of monocyte activation [GO:0150102]; negative regulation of transforming growth factor beta production [GO:0071635]; nervous system development [GO:0007399]; neural crest cell migration involved in autonomic nervous system development [GO:1901166]; peptide cross-linking [GO:0018149]; positive regulation of axon extension [GO:0045773]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of fibroblast proliferation [GO:0048146]; positive regulation of gene expression [GO:0010628]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; positive regulation of substrate-dependent cell migration, cell attachment to substrate [GO:1904237]; regulation of cell shape [GO:0008360]; regulation of ERK1 and ERK2 cascade [GO:0070372]; regulation of protein phosphorylation [GO:0001932]; response to muscle activity [GO:0014850]; response to wounding [GO:0009611]; substrate adhesion-dependent cell spreading [GO:0034446]; wound healing [GO:0042060]	apical plasma membrane [GO:0016324]; basement membrane [GO:0005604]; blood microparticle [GO:0072562]; collagen-containing extracellular matrix [GO:0062023]; endoplasmic reticulum lumen [GO:0005788]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; fibrinogen complex [GO:0005577]; plasma membrane [GO:0005886]; platelet alpha granule lumen [GO:0031093]; collagen binding [GO:0005518]; extracellular matrix structural constituent [GO:0005201]; heparin binding [GO:0008201]; identical protein binding [GO:0042802]; integrin binding [GO:0005178]; peptidase activator activity [GO:0016504]; protease binding [GO:0002020]; proteoglycan binding [GO:0043394]; receptor ligand activity [GO:0048018]; signaling receptor binding [GO:0005102]; acute-phase response [GO:0006953]; angiogenesis [GO:0001525]; biological process involved in interaction with symbiont [GO:0051702]; calcium-independent cell-matrix adhesion [GO:0007161]; cell adhesion [GO:0007155]; cell-matrix adhesion [GO:0007160]; cell-substrate junction assembly [GO:0007044]; endodermal cell differentiation [GO:0035987]; heart development [GO:0007507]; integrin activation [GO:0033622]; integrin-mediated signaling pathway [GO:0007229]; negative regulation of monocyte activation [GO:0150102]; negative regulation of transforming growth factor beta production [GO:0071635]; nervous system development [GO:0007399]; neural crest cell migration involved in autonomic nervous system development [GO:1901166]; peptide cross-linking [GO:0018149]; positive regulation of axon extension [GO:0045773]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of fibroblast proliferation [GO:0048146]; positive regulation of gene expression [GO:0010628]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; positive regulation of substrate-dependent cell migration, cell attachment to substrate [GO:1904237]; regulation of cell shape [GO:0008360]; regulation of ERK1 and ERK2 cascade [GO:0070372]; regulation of protein phosphorylation [GO:0001932]; response to muscle activity [GO:0014850]; response to wounding [GO:0009611]; substrate adhesion-dependent cell spreading [GO:0034446]; wound healing [GO:0042060]	GO:0001525; GO:0001932; GO:0002020; GO:0005102; GO:0005178; GO:0005201; GO:0005518; GO:0005576; GO:0005577; GO:0005604; GO:0005615; GO:0005788; GO:0005793; GO:0005886; GO:0006953; GO:0007044; GO:0007155; GO:0007160; GO:0007161; GO:0007229; GO:0007399; GO:0007507; GO:0008201; GO:0008284; GO:0008360; GO:0009611; GO:0010628; GO:0014850; GO:0016324; GO:0016504; GO:0018149; GO:0031012; GO:0031093; GO:0033622; GO:0034446; GO:0035987; GO:0042060; GO:0042802; GO:0043394; GO:0045773; GO:0048018; GO:0048146; GO:0051702; GO:0051897; GO:0062023; GO:0070062; GO:0070372; GO:0071635; GO:0072562; GO:0150102; GO:1901166; GO:1904237	apical plasma membrane [GO:0016324]; basement membrane [GO:0005604]; blood microparticle [GO:0072562]; collagen-containing extracellular matrix [GO:0062023]; endoplasmic reticulum lumen [GO:0005788]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; fibrinogen complex [GO:0005577]; plasma membrane [GO:0005886]; platelet alpha granule lumen [GO:0031093]	collagen binding [GO:0005518]; extracellular matrix structural constituent [GO:0005201]; heparin binding [GO:0008201]; identical protein binding [GO:0042802]; integrin binding [GO:0005178]; peptidase activator activity [GO:0016504]; protease binding [GO:0002020]; proteoglycan binding [GO:0043394]; receptor ligand activity [GO:0048018]; signaling receptor binding [GO:0005102]
P02753	P02753	reviewed	RET4_HUMAN	Retinol-binding protein 4 (Plasma retinol-binding protein) (PRBP) (RBP) [Cleaved into: Plasma retinol-binding protein(1-182); Plasma retinol-binding protein(1-181); Plasma retinol-binding protein(1-179); Plasma retinol-binding protein(1-176)]	RBP4 PRO2222	Homo sapiens (Human)	201	cardiac muscle tissue development [GO:0048738]; embryonic organ morphogenesis [GO:0048562]; embryonic retina morphogenesis in camera-type eye [GO:0060059]; embryonic skeletal system development [GO:0048706]; eye development [GO:0001654]; female genitalia morphogenesis [GO:0048807]; gluconeogenesis [GO:0006094]; glucose homeostasis [GO:0042593]; heart development [GO:0007507]; heart trabecula formation [GO:0060347]; lung development [GO:0030324]; maintenance of gastrointestinal epithelium [GO:0030277]; negative regulation of cardiac muscle cell proliferation [GO:0060044]; positive regulation of immunoglobulin production [GO:0002639]; positive regulation of insulin secretion [GO:0032024]; response to retinoic acid [GO:0032526]; retinol metabolic process [GO:0042572]; retinol transport [GO:0034633]; urinary bladder development [GO:0060157]; uterus development [GO:0060065]; vagina development [GO:0060068]; visual perception [GO:0007601]	extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; retinal binding [GO:0016918]; retinol binding [GO:0019841]; retinol transmembrane transporter activity [GO:0034632]; cardiac muscle tissue development [GO:0048738]; embryonic organ morphogenesis [GO:0048562]; embryonic retina morphogenesis in camera-type eye [GO:0060059]; embryonic skeletal system development [GO:0048706]; eye development [GO:0001654]; female genitalia morphogenesis [GO:0048807]; gluconeogenesis [GO:0006094]; glucose homeostasis [GO:0042593]; heart development [GO:0007507]; heart trabecula formation [GO:0060347]; lung development [GO:0030324]; maintenance of gastrointestinal epithelium [GO:0030277]; negative regulation of cardiac muscle cell proliferation [GO:0060044]; positive regulation of immunoglobulin production [GO:0002639]; positive regulation of insulin secretion [GO:0032024]; response to retinoic acid [GO:0032526]; retinol metabolic process [GO:0042572]; retinol transport [GO:0034633]; urinary bladder development [GO:0060157]; uterus development [GO:0060065]; vagina development [GO:0060068]; visual perception [GO:0007601]	GO:0001654; GO:0002639; GO:0005576; GO:0005615; GO:0006094; GO:0007507; GO:0007601; GO:0016918; GO:0019841; GO:0030277; GO:0030324; GO:0032024; GO:0032526; GO:0034632; GO:0034633; GO:0042572; GO:0042593; GO:0048562; GO:0048706; GO:0048738; GO:0048807; GO:0060044; GO:0060059; GO:0060065; GO:0060068; GO:0060157; GO:0060347; GO:0070062	extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]	retinal binding [GO:0016918]; retinol binding [GO:0019841]; retinol transmembrane transporter activity [GO:0034632]
P02760	P02760	reviewed	AMBP_HUMAN	Protein AMBP (Protein HC) [Cleaved into: Alpha-1-microglobulin (EC 1.6.2.-) (Alpha-1 microglycoprotein) (Complex-forming glycoprotein heterogeneous in charge); Inter-alpha-trypsin inhibitor light chain (ITI-LC) (Bikunin) (EDC1) (HI-30) (Uronic-acid-rich protein); Trypstatin]	AMBP HCP ITIL	Homo sapiens (Human)	352	cell adhesion [GO:0007155]; female pregnancy [GO:0007565]; heme catabolic process [GO:0042167]; negative regulation of immune response [GO:0050777]; negative regulation of JNK cascade [GO:0046329]	blood microparticle [GO:0072562]; cell surface [GO:0009986]; collagen-containing extracellular matrix [GO:0062023]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; mitochondrial inner membrane [GO:0005743]; nuclear membrane [GO:0031965]; plasma membrane [GO:0005886]; calcium channel inhibitor activity [GO:0019855]; calcium oxalate binding [GO:0046904]; carbohydrate binding [GO:0030246]; heme binding [GO:0020037]; IgA binding [GO:0019862]; oxidoreductase activity [GO:0016491]; protein homodimerization activity [GO:0042803]; serine-type endopeptidase inhibitor activity [GO:0004867]; cell adhesion [GO:0007155]; female pregnancy [GO:0007565]; heme catabolic process [GO:0042167]; negative regulation of immune response [GO:0050777]; negative regulation of JNK cascade [GO:0046329]	GO:0004867; GO:0005576; GO:0005615; GO:0005743; GO:0005783; GO:0005829; GO:0005886; GO:0007155; GO:0007565; GO:0009986; GO:0016491; GO:0019855; GO:0019862; GO:0020037; GO:0030246; GO:0031965; GO:0042167; GO:0042803; GO:0046329; GO:0046904; GO:0050777; GO:0062023; GO:0070062; GO:0072562	blood microparticle [GO:0072562]; cell surface [GO:0009986]; collagen-containing extracellular matrix [GO:0062023]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; mitochondrial inner membrane [GO:0005743]; nuclear membrane [GO:0031965]; plasma membrane [GO:0005886]	calcium channel inhibitor activity [GO:0019855]; calcium oxalate binding [GO:0046904]; carbohydrate binding [GO:0030246]; heme binding [GO:0020037]; IgA binding [GO:0019862]; oxidoreductase activity [GO:0016491]; protein homodimerization activity [GO:0042803]; serine-type endopeptidase inhibitor activity [GO:0004867]
P02763	P02763	reviewed	A1AG1_HUMAN	Alpha-1-acid glycoprotein 1 (AGP 1) (Orosomucoid-1) (OMD 1)	ORM1 AGP1	Homo sapiens (Human)	201	acute-phase response [GO:0006953]; inflammatory response [GO:0006954]; negative regulation of interleukin-6 production [GO:0032715]; negative regulation of tumor necrosis factor production [GO:0032720]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of interleukin-1 production [GO:0032732]; positive regulation of tumor necrosis factor production [GO:0032760]; regulation of immune system process [GO:0002682]	blood microparticle [GO:0072562]; collagen-containing extracellular matrix [GO:0062023]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; platelet alpha granule lumen [GO:0031093]; specific granule lumen [GO:0035580]; tertiary granule lumen [GO:1904724]; acute-phase response [GO:0006953]; inflammatory response [GO:0006954]; negative regulation of interleukin-6 production [GO:0032715]; negative regulation of tumor necrosis factor production [GO:0032720]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of interleukin-1 production [GO:0032732]; positive regulation of tumor necrosis factor production [GO:0032760]; regulation of immune system process [GO:0002682]	GO:0002682; GO:0005576; GO:0005615; GO:0006953; GO:0006954; GO:0031093; GO:0032715; GO:0032720; GO:0032731; GO:0032732; GO:0032760; GO:0035580; GO:0062023; GO:0070062; GO:0072562; GO:1904724	blood microparticle [GO:0072562]; collagen-containing extracellular matrix [GO:0062023]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; platelet alpha granule lumen [GO:0031093]; specific granule lumen [GO:0035580]; tertiary granule lumen [GO:1904724]	
P02765	P02765	reviewed	FETUA_HUMAN	Alpha-2-HS-glycoprotein (Alpha-2-Z-globulin) (Ba-alpha-2-glycoprotein) (Fetuin-A) [Cleaved into: Alpha-2-HS-glycoprotein chain A; Alpha-2-HS-glycoprotein chain B]	AHSG FETUA PRO2743	Homo sapiens (Human)	367	acute-phase response [GO:0006953]; negative regulation of bone mineralization [GO:0030502]; negative regulation of insulin receptor signaling pathway [GO:0046627]; ossification [GO:0001503]; pinocytosis [GO:0006907]; positive regulation of phagocytosis [GO:0050766]; regulation of bone mineralization [GO:0030500]; regulation of inflammatory response [GO:0050727]; skeletal system development [GO:0001501]	blood microparticle [GO:0072562]; collagen-containing extracellular matrix [GO:0062023]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; platelet alpha granule lumen [GO:0031093]; secretory granule lumen [GO:0034774]; cysteine-type endopeptidase inhibitor activity [GO:0004869]; endopeptidase inhibitor activity [GO:0004866]; kinase inhibitor activity [GO:0019210]; acute-phase response [GO:0006953]; negative regulation of bone mineralization [GO:0030502]; negative regulation of insulin receptor signaling pathway [GO:0046627]; ossification [GO:0001503]; pinocytosis [GO:0006907]; positive regulation of phagocytosis [GO:0050766]; regulation of bone mineralization [GO:0030500]; regulation of inflammatory response [GO:0050727]; skeletal system development [GO:0001501]	GO:0001501; GO:0001503; GO:0004866; GO:0004869; GO:0005576; GO:0005615; GO:0005788; GO:0005794; GO:0006907; GO:0006953; GO:0019210; GO:0030500; GO:0030502; GO:0031012; GO:0031093; GO:0034774; GO:0046627; GO:0050727; GO:0050766; GO:0062023; GO:0070062; GO:0072562	blood microparticle [GO:0072562]; collagen-containing extracellular matrix [GO:0062023]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; platelet alpha granule lumen [GO:0031093]; secretory granule lumen [GO:0034774]	cysteine-type endopeptidase inhibitor activity [GO:0004869]; endopeptidase inhibitor activity [GO:0004866]; kinase inhibitor activity [GO:0019210]
P02766	P02766	reviewed	TTHY_HUMAN	Transthyretin (ATTR) (Prealbumin) (TBPA)	TTR PALB	Homo sapiens (Human)	147	purine nucleobase metabolic process [GO:0006144]	azurophil granule lumen [GO:0035578]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; hormone activity [GO:0005179]; identical protein binding [GO:0042802]; thyroid hormone binding [GO:0070324]; purine nucleobase metabolic process [GO:0006144]	GO:0005179; GO:0005576; GO:0005615; GO:0006144; GO:0035578; GO:0042802; GO:0070062; GO:0070324	azurophil granule lumen [GO:0035578]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]	hormone activity [GO:0005179]; identical protein binding [GO:0042802]; thyroid hormone binding [GO:0070324]
P02768	P02768	reviewed	ALBU_HUMAN	Albumin	ALB GIG20 GIG42 PRO0903 PRO1708 PRO2044 PRO2619 PRO2675 UNQ696/PRO1341	Homo sapiens (Human)	609	cellular response to calcium ion starvation [GO:0072732]; cellular response to starvation [GO:0009267]; negative regulation of mitochondrial depolarization [GO:0051902]	blood microparticle [GO:0072562]; cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; nucleus [GO:0005634]; platelet alpha granule lumen [GO:0031093]; protein-containing complex [GO:0032991]; antioxidant activity [GO:0016209]; copper ion binding [GO:0005507]; DNA binding [GO:0003677]; enterobactin binding [GO:1903981]; exogenous protein binding [GO:0140272]; fatty acid binding [GO:0005504]; identical protein binding [GO:0042802]; protein-folding chaperone binding [GO:0051087]; pyridoxal phosphate binding [GO:0030170]; toxic substance binding [GO:0015643]; cellular response to calcium ion starvation [GO:0072732]; cellular response to starvation [GO:0009267]; negative regulation of mitochondrial depolarization [GO:0051902]	GO:0003677; GO:0005504; GO:0005507; GO:0005576; GO:0005615; GO:0005634; GO:0005737; GO:0005783; GO:0005788; GO:0005794; GO:0009267; GO:0015643; GO:0016209; GO:0030170; GO:0031093; GO:0032991; GO:0042802; GO:0051087; GO:0051902; GO:0070062; GO:0072562; GO:0072732; GO:0140272; GO:1903981	blood microparticle [GO:0072562]; cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; nucleus [GO:0005634]; platelet alpha granule lumen [GO:0031093]; protein-containing complex [GO:0032991]	antioxidant activity [GO:0016209]; copper ion binding [GO:0005507]; DNA binding [GO:0003677]; enterobactin binding [GO:1903981]; exogenous protein binding [GO:0140272]; fatty acid binding [GO:0005504]; identical protein binding [GO:0042802]; protein-folding chaperone binding [GO:0051087]; pyridoxal phosphate binding [GO:0030170]; toxic substance binding [GO:0015643]
